名称,价格,店铺评分,商品评价,服务态度,物流速度,品牌,商品毛重,企口类型,底板厚度,类别,店铺,晒图,好评,中评,差评
福人净化强化复合木地板E0级环保12mm 田园牧歌ZMLN310,118.00 ,9.77,9.71,9.72,9.76,福人（FUREN）,2.45kg,V型槽,12mm,强化复合地板,福人地板旗舰店,6,100,0,1
福人框架实木复合木地板榆木仿古浮雕适合地暖 榆木框架KFP0217,299.00 ,9.77,9.71,9.72,9.76,福人（FUREN）,25.0kg,平口,15mm,实木复合地板,福人地板旗舰店,0,0,0,0
福人强化复合木地板厂家直销 怡品橡木ZMQZ006,69.00 ,9.77,9.71,9.72,9.76,福人（FUREN）,17.9kg,V型槽,,强化复合地板,福人地板旗舰店,4,20,0,0
福人强化复合木地板环保12mm仿实木3D浮雕 玉树枫桦ZMJN307,108.00 ,9.77,9.71,9.72,9.76,福人（FUREN）,2.09kg,V型槽,12mm,强化复合地板,福人地板旗舰店,0,8,0,0
福人实木复合木地板15mm拍立锁扣橡木 1210*167*15mm  DSS0122,269.00 ,9.77,9.71,9.72,9.76,福人（FUREN）,20.0kg,其他,15mm,实木复合地板,福人地板旗舰店,0,6,0,0
高恩地板  纯实木圆盘豆木地板客厅卧室地板 GE0916圆盘豆红色,289.00 ,9.81,9.76,9.76,9.8,高恩,22.5kg,平口,18mm,实木地板,高恩地板旗舰店,0,2,0,0
高恩地板  强化复合地板 防滑耐磨地暖木地板 X201田园蜜语,200.00 ,9.81,9.76,9.76,9.8,高恩,26.5kg,单锁口,,强化复合地板,高恩地板旗舰店,0,80,0,0
高恩地板  强化复合木地板  木地板地热地暖 防水耐磨客厅卧室地板 X205香堡秋色,99.00 ,9.81,9.76,9.76,9.8,高恩,26.5kg,单锁口,,强化复合地板,高恩地板旗舰店,0,4,0,0
高恩地板  强化复合木地板地热地板防水耐磨客厅卧室地板 X206洛桑情怀,99.00 ,9.81,9.76,9.76,9.8,高恩,26.5kg,单锁口,,强化复合地板,高恩地板旗舰店,0,2,0,0
高恩地板 纯实木番龙眼木地板 GE0212番龙眼本色,258.00 ,9.81,9.76,9.76,9.8,高恩,22.5kg,平口,18mm,实木地板,高恩地板旗舰店,0,9,0,0
高恩地板 纯实木香脂木豆木地板 健康环保客厅卧室地板 GE0728香脂木豆,680.00 ,9.81,9.76,9.76,9.8,高恩,22.0kg,平口,18mm,实木地板,高恩地板旗舰店,0,0,0,0
高恩地板 多层实木复合美国水曲柳木地板,269.00 ,9.81,9.76,9.76,9.8,高恩,22.5kg,平口,15mm,实木复合地板,高恩地板旗舰店,0,0,0,0
高恩地板 多层实木复合榆木地板 榆木GECD203-1,179.00 ,9.81,9.76,9.76,9.8,高恩,22.5kg,平口,15mm,实木复合地板,高恩地板旗舰店,0,20,0,0
高恩地板 环保耐磨适用地热地板强化复合木地板 X201田园蜜语,99.00 ,9.81,9.76,9.76,9.8,高恩,26.5kg,单锁口,12mm,强化复合地板,高恩地板旗舰店,0,80,0,0
高恩地板 零甲醛地板强化复合木地板 X304巴洛克风情,109.00 ,9.81,9.76,9.76,9.8,高恩,22.5kg,单锁口,,强化复合地板,高恩地板旗舰店,0,0,0,0
高恩地板 零甲醛强化复合地板 环保家用木地板 X503金色年华,116.00 ,9.81,9.76,9.76,9.8,高恩,22.5kg,单锁口,,强化复合地板,高恩地板旗舰店,0,20,0,0
高恩地板 欧榉木多层实木复合木地板 黄色,189.00 ,9.81,9.76,9.76,9.8,高恩,22.5kg,平口,15mm,实木复合地板,高恩地板旗舰店,0,0,0,0
高恩地板 强化复合地板 地暖地热客厅卧室木地板 X205香堡秋色,99.00 ,9.81,9.76,9.76,9.8,高恩,26.5kg,单锁口,12mm,强化复合地板,高恩地板旗舰店,0,30,0,0
高恩地板 强化复合地板 客厅卧室地暖木地板 X104古诺凡希,88.00 ,9.81,9.76,9.76,9.8,高恩,26.5kg,单锁口,,强化复合地板,高恩地板旗舰店,20,1200,0,3
高恩地板 强化复合地板个性文艺咖啡厅酒吧服装店木地板 X206洛桑情怀,106.00 ,9.81,9.76,9.76,9.8,高恩,26.5kg,单锁口,12mm,强化复合地板,高恩地板旗舰店,0,0,0,0
高恩地板 强化复合地板家装主材零甲醛木地板 X305勋爵世家,109.00 ,9.81,9.76,9.76,9.8,高恩,22.5kg,单锁口,,强化复合地板,高恩地板旗舰店,0,50,0,0
高恩地板 强化复合客厅卧室家装地板防潮防磨损木地板板 X202莫奈花园,99.00 ,9.81,9.76,9.76,9.8,高恩,26.5kg,单锁口,12mm,强化复合地板,高恩地板旗舰店,0,7,0,0
高恩地板 强化复合零甲醛地板 仿古耐用耐磨环保木地板 X306柯罗晨韵,109.00 ,9.81,9.76,9.76,9.8,高恩,22.5kg,单锁口,,强化复合地板,高恩地板旗舰店,0,0,0,0
高恩地板 强化复合木地板 仿实木地板 X101温莎风华,89.00 ,9.81,9.76,9.76,9.8,高恩,26.5kg,单锁口,,强化复合地板,高恩地板旗舰店,0,10,0,0
高恩地板 强化复合木地板 零甲醛客仿实木适用地热地板 X306柯罗晨韵,113.00 ,9.81,9.76,9.76,9.8,高恩,22.5kg,单锁口,,强化复合地板,高恩地板旗舰店,0,0,0,0
高恩地板 强化复合木地板 送货入户免费安装环保地板 X103雅各布森,89.00 ,9.81,9.76,9.76,9.8,高恩,26.5kg,单锁口,,强化复合地板,高恩地板旗舰店,0,9,0,0
高恩地板 强化复合木地板12mm单锁口地暖地热地板 X206洛桑情怀,99.00 ,9.81,9.76,9.76,9.8,高恩,26.5kg,单锁口,12mm,强化复合地板,高恩地板旗舰店,0,0,0,0
高恩地板 强化复合木地板家用地热环保地板 X202莫奈花园,106.00 ,9.81,9.76,9.76,9.8,高恩,26.5kg,单锁口,12mm,强化复合地板,高恩地板旗舰店,0,90,0,0
高恩地板 强化复合木地板耐磨防滑零甲醛地板 X305,109.00 ,9.81,9.76,9.76,9.8,高恩,22.5kg,单锁口,,强化复合地板,高恩地板旗舰店,0,9,0,0
高恩地板 强化复合木地板适用地暖地热零甲醛地板 X304巴洛克风情,109.00 ,9.81,9.76,9.76,9.8,高恩,22.5kg,单锁口,,强化复合地板,高恩地板旗舰店,0,0,0,0
国泽 纯实木地板番龙眼实木地板 本色哑光910x115x18,226.00 ,9.57,9.61,9.64,9.65,国泽,20.0kg,平口,18mm,实木地板,中国特产·宿迁馆,0,0,0,0
国泽 红橡实木地板纯实木仿古浮雕地板 金秋岁月 910x145x18mm,389.00 ,9.57,9.61,9.64,9.65,国泽,20.0kg,平口,18mm,实木地板,中国特产·宿迁馆,0,0,0,0
国泽 金刚柚木纯实木地板槐木仿古浮雕木地板 金刚柚木浮雕Z918,198.00 ,9.57,9.61,9.64,9.65,国泽,20.0kg,平口,18mm,实木地板,中国特产·宿迁馆,0,0,0,0
国泽 橡木地板纯实木仿古地板客厅卧室平口地板 橡木仿古 柚木色 810x125x18,288.00 ,9.57,9.61,9.64,9.65,国泽,20.0kg,平口,18mm,实木地板,中国特产·宿迁馆,0,0,0,0
国泽地板 橡木多层实木复合平扣地板仿古手抓纹浮雕客厅卧室木地板 2214,208.50 ,9.57,9.61,9.64,9.65,国泽,20.0kg,平口,15mm,实木复合地板,中国特产·宿迁馆,0,0,0,0
国泽地板 橡木多层实木复合锁扣地板仿古手抓纹浮雕北欧美式客厅卧室木地板 2232,208.50 ,9.57,9.61,9.64,9.65,国泽,20.0kg,双锁口,15mm,实木复合地板,中国特产·宿迁馆,0,0,0,0
好享家 纯实木地板 非洲柚木纽墩豆 耐地热地暖锁扣免龙骨 厂家直销 地热锁扣-耐磨哑光 N6101,278.00 ,-----,-----,-----,-----,好享家,25.0kg,双锁口,18mm,实木地板,好享家家居旗舰店,0,0,0,0
好享家 正宗美国红橡纯实木地板 原木锁扣耐地热地暖 厂家直销 900*88耐地热锁扣,298.00 ,-----,-----,-----,-----,好享家,25.0kg,双锁口,18mm,实木地板,好享家家居旗舰店,0,0,0,0
浩邦 纯实木地板 番龙眼原木 淡色 18mm厚 AAA级 锁扣可用地暖 H809 910*122/平扣,198.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,0,6,0,0
浩邦 俄罗斯枫桦大锁扣 实木复合地板 地暖多层新实木地板 亚光 G681 1215*198,178.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,双锁口,15mm,实木复合地板,浩邦家居旗舰店,0,0,0,0
浩邦AAA级番龙眼原木地板 免龙骨钉纯实木锁扣地板 可用地暖地热 H805-S 900*116/锁扣,238.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,双锁口,18mm,实木地板,浩邦家居旗舰店,0,0,0,0
浩邦纯实木地板 纯A级原木 工厂直供 柚木王比橡木地板有档次 H8081 H8081 910*122,238.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,0,0,0,0
浩邦纯实木地板 番龙眼柚木色亮面 纯A级进口全实木地板 厂家直销 H806,186.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,0,1,0,0
浩邦纯实木地板 黄橡木/红橡木白腊木仿古手抓纹155宽全实木地板 H8608 910*155,278.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,0,0,0,0
浩邦纯实木地板 进口橡木原木 家用地暖地热全实木地板 锁扣专利 H507 900*116,398.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,0,1,0,0
浩邦纯实木地板 进口橡木原木地板 纯A级 家用仿古全实木地板工厂直销  锁扣免龙骨可用地暖 H863 910*125,278.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,4,60,0,0
浩邦纯实木地板 美国白橡木 A级 全实木地板 18mm 家用木地板 H501,298.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,0,0,0,0
浩邦纯实木地板 美国宾洲红橡木进口原木 锁扣免龙骨钉 可用地暖 86S红橡 900*118,398.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,双锁口,18mm,实木地板,浩邦家居旗舰店,0,0,0,0
浩邦纯实木地板 缅甸柚木地板锁扣 地暖地热实木地板 柚木锁扣/910*118,688.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,单锁口,18mm,实木地板,浩邦家居旗舰店,0,0,0,0
浩邦纯实木地板 特级龙凤檀原木平面亚光家用全实木地板 厂家直销 H602 910*125,316.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,0,0,0,0
浩邦纯实木地板 印尼印茄木菠萝格 A级原木清漆 锁扣可用地暖地热 8210S/锁扣/900*118/368元,368.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,0,1,0,0
浩邦纯实木地板 印尼印茄木大菠萝格A级亚光锁扣地热地暖实木地板 H8211 H8210S/900*118/锁扣,368.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,6,20,0,0
浩邦纯实木地板 柚木王纯手工仿古 原木地板 尊贵品质 比橡木更好 H8080 H8081/平面 910*122,228.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,0,1,0,0
浩邦纯实木地板 圆盘豆绿柄桑原木 柚木浅黄色A级 锁扣免龙骨可用地暖厂家直销 910*122,238.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,0,7,0,0
浩邦纯实木地板番龙眼原木地板锁扣AAA级 地暖地热纯实木地板 H828S/锁扣/900*116,198.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,单锁口,其他,实木地板,浩邦家居旗舰店,0,0,0,0
浩邦纯实木地板圆盘豆绿柄桑仿古手抓纹原木地板 美式复古风格 910*122,198.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,0,0,0,0
浩邦地板纯实木地板 枫桦木原木 柚木色亮面 卧室家用全实木地板 H882-2,198.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,0,0,0,0
浩邦地热纯实木地板  印茄木大菠萝格全实木锁扣地暖地板 H8213 900*118/锁扣,298.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,0,0,0,0
浩邦多层实木复合地板 地暖地热新实木地板 500年楝木/桦木 AAA级专利大锁扣 G260/500年楝木 915*148,138.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,双锁口,15mm,实木复合地板,浩邦家居旗舰店,0,70,0,0
浩邦番龙眼纯实木地板小菠萝格A级原木实木地板 锁扣可用地暖地热 厂家直销 H802 910*122,188.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,18mm,实木地板,浩邦家居旗舰店,0,2,0,0
浩邦木地板 仿实木复古手抓纹 拉丝 家用复合木地板 厂家直销 K8523,68.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,双锁口,12mm,强化复合地板,浩邦家居旗舰店,0,0,0,0
浩邦强化地板 仿古拉丝仿实木 地暖地热 家用 商用强化复合木地板 HB9011,88.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,双锁口,12mm,强化复合地板,浩邦家居旗舰店,0,0,0,0
浩邦强化地板 仿古同步对花手抓纹 家用复合木地板 可用地热 K8532,68.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,双锁口,12mm,强化复合地板,浩邦家居旗舰店,0,0,0,0
浩邦强化地板 仿实木木纹 平面亮面 12mm 房间 办公室复合木地板 K8837,68.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,双锁口,12mm,强化复合地板,浩邦家居旗舰店,0,0,0,0
浩邦强化地板 碳化仿古复合大板 家用地暖地热高端强化复合木地板 HD8106,98.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,双锁口,12mm,强化复合地板,浩邦家居旗舰店,0,0,0,0
浩邦强化地板 同步对木纹 仿古深压纹 欧式奢华 家用复合木地板 K8534 810*148,68.00 ,9.69,9.67,9.69,9.64,浩邦,15.0kg,双锁口,12mm,强化复合地板,浩邦家居旗舰店,0,0,0,0
浩邦三层实木地板 橡木三层实木复合地板 大锁扣地热用 1200*162,358.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,双锁口,15mm,实木复合地板,浩邦家居旗舰店,0,0,0,0
浩邦三层实木地板 橡木三层实木复合地板 大锁扣地热用 1200*162,358.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,双锁口,15mm,实木复合地板,浩邦家居旗舰店,0,0,0,0
浩邦三层实木地板 橡木三层实木复合地板 大锁扣地热用 1200*162,358.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,双锁口,15mm,实木复合地板,浩邦家居旗舰店,0,0,0,0
浩邦三层实木地板 橡木三拼三层实木复合地板 大锁扣地热用 1200*162,258.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,双锁口,15mm,实木复合地板,浩邦家居旗舰店,0,0,0,0
浩邦三层实木地板 柚木三拼三层实木复合地板 大锁扣地热用 1200*162,358.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,双锁口,15mm,实木复合地板,浩邦家居旗舰店,0,0,0,0
浩邦实木多层地板 菠萝格原木纹双印实木复合 家用地暖地热木地板 D9089 910*148,138.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,13mm,实木复合地板,浩邦家居旗舰店,0,0,0,0
浩邦实木多层地板 番龙眼平面亚光 15mm 可地热实木复合木地板 D886,136.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,15mm,实木复合地板,浩邦家居旗舰店,0,0,0,0
浩邦实木多层地板 黑胡桃实木复合地板 家用地热木地板 厂家直销 D8666 910*127,136.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,15mm,实木地板,浩邦家居旗舰店,0,0,0,0
浩邦实木复合地板 纤皮玉蕊15mm家用地热实木多层木地板 厂家直销 D882 910*127,139.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,15mm,实木复合地板,浩邦家居旗舰店,0,0,0,0
浩邦实木复合多层地板 榆木仿古锁扣可用地暖地热 新实木地板  工厂直销 D8003 920*129,118.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,单锁口,15mm,实木复合地板,浩邦家居旗舰店,23,100,0,0
浩邦亚花梨实木地板 三层框架式锁扣实木地板 地热用 厂家直销 S-30,418.00 ,9.69,9.67,9.69,9.64,浩邦,20.0kg,平口,20mm,实木地板,浩邦家居旗舰店,0,0,0,0
和邦盛世纯实木地板卧室香二翅豆平面仿古耐磨龙凤檀环保生态原木地板 龙凤檀(760*123mm) 760*123*18,642.00 ,-----,-----,-----,-----,和邦盛世（HOMONISIA）,30.0kg,平口,18mm,实木地板,和邦盛世家居旗舰店,0,0,0,0
和邦盛世地板 新中式唐韵 多层木地板 橡木手刮仿古实木复合地板 威士忌色 910*127*15mm,792.00 ,-----,-----,-----,-----,和邦盛世（HOMONISIA）,23.0kg,平口,15mm,实木复合地板,和邦盛世家居旗舰店,0,0,0,0
和邦盛世木地板拼花艺术地板桦木实木复合地板 仿古多层实木地板 咖啡色 1210*165*15mm,646.00 ,-----,-----,-----,-----,和邦盛世（HOMONISIA）,21.0kg,平口,15mm,实木复合地板,和邦盛世家居旗舰店,0,0,0,0
和邦盛世实木地板非洲红檀原木柏克山榄纯实木木地板 红檀(610*123mm),476.00 ,-----,-----,-----,-----,和邦盛世（HOMONISIA）,30.0kg,平口,18mm,实木地板,和邦盛世家居旗舰店,0,0,0,0
华美地板多层实木复合地板15mm多层实木地板适用地暖环保地板平面系列碧鬟红袖 霞姿月韵 915*128*15mm,138.00 ,9.72,9.65,9.72,9.74,华美,21.0kg,平口,15mm,实木复合地板,华美地板旗舰店,85,5300,7,10
华美地板亮面复合木地板12mm防水防滑高耐磨客厅卧室适用地热地板烟雨江岸 北国银光 1220*173*12mm,76.00 ,9.72,9.65,9.72,9.74,华美,10.0kg,双锁口,12mm,强化复合地板,华美地板旗舰店,132,5400,10,10
华美地板强化复合地板12mm手抓纹高耐磨防滑环保地板适用地暖复合木地板巴黎黄像 经典古胡桃 810*133*12mm,69.00 ,9.72,9.65,9.72,9.74,华美,21.0kg,双锁口,12mm,强化复合地板,华美地板旗舰店,1,5,0,0
华美地板强化复合木地板12mm防水防滑高耐磨适合地暖地板橡木浮雕面富贵金橡 雍雅红橡 810*173*12mm,69.00 ,9.72,9.65,9.72,9.74,华美,21.0kg,双锁口,12mm,强化复合地板,华美地板旗舰店,1,9,0,1
皇轩地板 纯实木地板柚木18mm锁扣零甲醛免龙骨无缝拼接地暖地热值厂家直销 高档柚木纯实木地板 900x118x18,860.00 ,9.83,9.78,9.78,9.8,皇轩,20.0kg,双锁口,18mm,实木地板,皇轩地板旗舰店,0,20,0,1
家诚地板厂家直销15mm实木多层地板耐磨防水抗刮擦环保木地板免费入户并安装赠送铺设面积辅材 加州红橡,169.00 ,9.86,10,9.81,9.83,家诚地板（jcen）,20.0kg,平口,15mm,实木复合地板,jcen家诚地板官方旗舰店,1,30,0,0
家诚地板厂家直销15mm实木多层地板耐磨防水抗刮擦环保木地板免费入户并安装赠送铺设面积辅材 玫瑰之约,169.00 ,9.86,10,9.81,9.83,家诚地板（jcen）,20.0kg,平口,15mm,实木复合地板,jcen家诚地板官方旗舰店,1,30,0,0
家诚地板实木地板优质唐木实番龙眼深色JCEN原材诚实亮面钢琴烤漆 唐木,279.00 ,9.86,10,9.81,9.83,家诚地板（jcen）,30.0kg,其他,18mm,实木地板,jcen家诚地板官方旗舰店,0,0,0,0
金钢铂林  欧洲比利时原装进口耐磨强化复合地板 E0级环保健康木地板 黄色怀特 1285*186*8mm,209.00 ,9.51,9.53,9.51,9.56,金钢铂林,20.0kg,V型槽,8mm,强化复合地板,金钢铂林地板专营店,0,4,0,0
金钢铂林 2016德国原装进口强化复合地板 环保E0级耐磨家用木地板 博尔德橡木 博尔德橡木(全包价) 1285*192*12mm,219.00 ,9.51,9.53,9.51,9.56,金钢铂林,15.0kg,V型槽,8mm,强化复合地板,金钢铂林地板专营店,0,0,0,0
金钢铂林 BERRY ALLOC比利时欧洲原装进口地板 耐磨环保E0健康木地板 灰白印橡木 1288x186x8mm,278.00 ,9.51,9.53,9.51,9.56,金钢铂林,20.0kg,V型槽,8mm,强化复合地板,金钢铂林地板专营店,4,100,1,0
金钢铂林 EstaParket 欧洲进口环保14mm 灰白双拼实木地板 芬兰M1环保认证 双拼白色橡木 2200*204*14mm,689.00 ,9.51,9.53,9.51,9.56,金钢铂林,25.0kg,平口,14mm,实木复合地板,金钢铂林地板专营店,0,1,0,0
金钢铂林 EstaParket 三层实木复合地板 欧洲原装进口环保木地板  三拼城市榉木 三拼城市榉木 2200x204x14mm,368.00 ,9.51,9.53,9.51,9.56,金钢铂林,40.0kg,V型槽,14mm,实木复合地板,金钢铂林地板专营店,0,3,0,0
金钢铂林 EstaParket欧洲原装进口三层实木地板 环保实木复合地板经典胡桃木可供地暖 经典胡桃木 2100X180X14mm,1780.00 ,9.51,9.53,9.51,9.56,金钢铂林,40.0kg,V型槽,14mm,实木复合地板,金钢铂林地板专营店,0,0,0,0
